>AA|ECRITURE IMMO|19 430 336 301,00|19 430 336 301,00
51125712|CHQ PAYE BNP NANTES|8 045,00|3 190,00
51125780|CHQ PAYE BNP ORLEANS|5 192,00|47 917,00
51125785|C.P.-S.G.Ramb.Accr.|0,00|45,00
51125790|CHQ PAYE BNP TOURS|82 610,50|25 090,50
51125791|CHQ PAYE BNP RUEIL|18 652,50|494 827,00
51129100|Impy.-BNP-PAR.Kléber|0,00|53 565,00
51129101|Imp-BNP-PAR.Klé. RC|0,00|95 048,00
51129621|Impy.-Sté.Gén.Bourg.|0,00|970,00
51129670|Impy.-Sté.Gén.Mans|0,00|5 735,00
51129675|Impy.-Sté.Gén.Nantes|0,00|1 045,00
51129680|Impy.-Sté.Gén.Orléan|0,00|29 975,00
51129682|Impy.-S.G.Poitiers|0,00|1 450,00
51129690|Impy.-Sté.Gén.Tours|0,00|15 570,00
51130601|Pr.émis.-S.G. CIA|826 462,50|11 388 324,00
51131100|Pr.dom.-BNP Kléber|25 350,50|305 257 641,00
51131600|Pr.dom.-S.G. Paris|1 021 353,00|52 151 589,00
51135102|Cartes bancaires BNP|35 347 650,00|0,00
51135600|Cartes S.G. Paris|117 300,00|0,00
51140100|Vir.-BNP-PAR.Kléber|1 322 921 743,00|430 252 057,50
51140101|Vir.-BNP-PAR.Klé. RC|46 229,50|74 949,50
51140600|Vir.-S.G. Paris|1 388 509 035,00|1 860 482 222,50
51140601|Vir.-S.G. CIA|1 883 958 004,00|0,00
51140675|Vir.-S.G. Nantes|1 711,50|423,00
51146100|Tr.Etr.-BNP Kléber|9 819 995,00|44 689,50
51146600|Tr.Etr.-S.G. Paris|258 954,00|133 010,00
51149100|Rjet.Vir.BNP Kléber|490 312,50|0,00
51149600|Rjet.Vir.S.G. Paris|172 884,50|2 750,00
51185600|Report S.G Paris|0,00|1 078,00
51189600|Régul. Sté.Gén.Paris|2 830 093,50|0,00
51196100|Télér-BNP-PAR.Kléber|0,00|94 038 000,00
51196600|Télérégl-S.G. Paris|0,00|11 796 965 213,50
51199600|Cpte attente RC - SG|294 951,50|287 641,50
51211100|BNP Kléber|0,00|1 028 042 105,00
51211101|BNP Kléber -RC|0,00|3 008,50
51211102|BNP Montparnasse CB|0,00|5 301 475,00
51211210|CALYON|255 514 609,00|180 360 573,00
51211400|Crédit Mutuel Paris|0,00|1 435,50
51211600|Sociét.Gle.Paris|300 000,00|819 650,50
51211601|Sociét.Gle.Paris CIA|0,00|1 500,00
51211700|NBP|202 385 017,50|4 528 125,00
51212680|Sociét.Gale.Orléans|2 762 665,00|0,00
53600200|Recettes CB BNP|0,00|35 347 650,00
54003290|BNP Tours|2 325,00|0,00
58010150|Sortie FDR ESVRES|20 255,00|0,00
58010160|Sortie FDR VEIGNE|542 165,00|230,00
58010500|Sortie FDR ORLEANS C|5 000,00|293 885,00
58010520|Sortie FDR OLIVET|0,00|311 260,00
58010530|Sortie FDR LAMOTTE|148 595,00|25 185,00
58010540|Sortie FDR SALBRIS|0,00|15,00
58010550|Sortie FDR VIERZON N|25 015,00|5,00
58010570|Sortie FDR BOURGES O|0,00|148 635,00
58011310|Sortie FDR MARESCHE|59 705,00|0,00
58011330|Sortie FDR ROUESSE|0,00|33 880,00
58011420|Sortie FDR ALENCON N|11 180,00|34 810,00
58011430|Sortie FDR ALENCON S|44 265,00|20 635,00
58011510|Sortie FDR AUVOURS|464 725,00|932 900,00
58011690|Sortie FDR MONTABON|14 655,00|17 730,00
58011770|Sortie FDR ST CHRIST|161 760,00|0,00
58011980|Sortie FDR DOURDAN S|150 560,00|461 610,00
58011990|Sortie FDR DOURDAN E|0,00|391 700,00
58012700|Sortie FDR ANCENIS B|0,00|7 695,00
58012710|Sortie FDR ANCENIS N|50,00|0,00
58012730|Sortie FDR VIEILLEVI|150,00|50,00
58012740|Sortie FDR ST GERMAI|3 355,00|0,00
58013020|Sortie FDR ALLAINVIL|5,00|1 129 620,00
58013040|Sortie FDR ALLAINES|5 050,00|209 025,00
58013060|Sortie FDR ARTENAY|35 000,00|216 765,00
58013080|Sortie FDR ORLEANS N|1 215,00|176 225,00
58013120|Sortie FDR MEUNG|0,00|183 710,00
58013160|Sortie FDR BLOIS|0,00|1 000,00
58013200|Sortie FDR MONNAIE|727 595,00|502 900,00
58014780|Sortie FDR NEUILLE|0,00|90,00
58014850|Sortie FDR LA THIBAU|46 435,00|101 950,00
58014900|Sortie FDR CHAMBRAY|45 555,00|81 645,00
58015220|Sortie FDR SORIGNY|239 010,00|2 130,00
58015240|Sortie FDR ST MAURE|0,00|245 000,00
58015260|Sortie FDR CHATEL N|53 135,00|53 130,00
58015280|Sortie FDR CHATEL S|22 550,00|129 370,00
58015290|Sortie FDR FUTUROSCO|0,00|15,00
58015320|Sortie FDR POITIERSS|0,00|500,00
58016010|Sortie FDR ST ARNOUL|1 369 505,00|5 226 150,00
58016030|Sortie FDR ABLIS|0,00|703 070,00
58016050|Sortie FDR CHARTRE N|135,00|455 080,00
58016070|Sortie FDR THIVARS N|0,00|662 940,00
58016090|Sortie FDR LUIGNY|150,00|468 695,00
58016100|Sortie FDR CHARTRE S|155 360,00|485 990,00
58016110|Sortie FDR LA FERTE|682 010,00|682 010,00
58016140|Sortie FDR THIVARS S|930,00|364 625,00
58017110|Sortie FDR RUEIL|566 885,00|1 206 660,00
58017120|Sortie FDR VAUCRESSO|504 335,00|806 520,00
58017130|Sortie FDR PT COLBER|504 000,00|817 140,00
58018210|Sortie FDR VAIGES|15,00|0,00
58018250|Sortie FDR LAVAL OUE|10 000,00|0,00
58018270|Sortie FDR LA GRAVEL|140 000,00|1 000,00
58019590|Sortie FDR LONGUE|50,00|0,00
58019600|Sortie FDR VIVY|243 000,00|0,00
58019680|Sortie FDR RESTIGNE|59 925,00|0,00
58103000|Vrts.de fonds|1 261 198 289,50|5 368 216 973,50
60612000|Electricité|10 511,50|0,00
61811000|Abonnements/Périod.|747,50|0,00
62142000|Personnel Détaché|0,00|295 309,00
62511000|Frs.déplacts.facturé|26 130,00|0,00
62512000|FORFAIT CIRCULATION|0,00|1 490,00
62562100|Miss.:Repas-facturé|0,00|1 511,00
62721000|Serv.des emprunts|75 995,00|0,00
62781200|Commis.TIS- PL|8 279 831,50|3 705 942,50
62782000|Commis.sur cautions|0,00|154 036,00
62783100|Commis./ mouvements|761 162,00|1 914 383,50
62784100|Com. Sogeplan-Castor|861 666,50|861 666,50
62786000|Commis. Cats|86 777,00|0,00
62788000|Commis.diverses|18 060,50|2 047 722,00
63181000|Taxe handicapés|0,00|62 604,00
64711000|Abondement|77 666 475,00|0,00
65300000|Jetons de Présence|0,00|1 058 750,00
65412000|Perte/Péages et CB|57 525,00|0,00
65441000|Perte/Créanc.Ex.Ant.|4 094 934,50|87 913,50
65811100|Charges div.gest.cou|966 468,00|481 644,50
65811300|Ecart perte CCI|183 445,00|0,00
66116000|Int./ Emprunt|0,00|22 499,50
66116500|Charg. Fin/Cred Synd|900 000,00|0,00
66151000|Agios/ Ct.Ct.|1 991,50|0,00
66611100|Perte Chang./Péages|705 684,50|0,00
66611200|Autr.pertes change|696 470,50|307 917,00
66811000|Ecarts NRP et REG|23 561,00|466,50
70611000|Péages Recet.collect|835 116,00|4 333 949,00
70611100|Péages Recet.CPC-NRP|612 415,50|492 694,50
70612100|Péages C.B. Rejets|1 325,00|0,00
70630000|LIBER 'T Cofiroute|1 241,50|0,00
70640100|LIBER 'T ALIS|7 335,00|0,00
70640400|LIBER 'T ASF|1 283 243,50|3 367 794,00
75811000|Rec.Pub.Stat.Rad.|0,00|134,00
75821000|Rbts./ Sinistres|918 647,00|430 068,00
75851200|Recettes Dvs.|538 855,00|75 630,00
76611000|Gains Change/ Péages|1 895,00|4 590,50
76611200|Autres gains change|97 166,00|1 013 033,00
76712000|Pdt plct CashPool VA|2 838 360,00|0,00
76810000|Prod.Financiers/Déri|38 906,00|0,00
76811000|Autr.Prod.Financiers|736 425,50|211 181,50
77181000|Prod.Excep./ Opér.G.|0,00|150 000,00
77211000|Prod./ Ex.Antérieurs|0,00|33 175,50
>AD|COUT AQUISITION IMMO|12 695 956,50|12 695 956,50
14501000|Amorts.dérogatoires|11 922 994,00|772 962,50
78725100|Rep./Amts.Dérogat.DC|772 962,50|11 922 994,00
>AF|AMORTISSEMENT IMMO|3 446 189 418,50|3 446 189 418,50
14500000|Amorts.dérogatoires|42 060 970,50|11 009 750,00
14501000|Amorts.dérogatoires|368 587 923,00|157 079 971,00
28020000|Amts logiciel DP - L|0,00|88 274 785,50
28080000|Amts log A19 DP - L|0,00|18 445 135,00
28110000|Amts bat.inst. Agenc|0,00|67 537 170,00
28120000|Amts véh. tourisme D|0,00|14 659,50
28130000|Amts matériel divers|0,00|823 236,50
28131000|Amts Mat. Info DP|0,00|32 341 132,00
28140000|Amts mob.de bureau D|0,00|7 747 238,00
28170000|Amts Mat. Exploit. D|0,00|340 735,50
28180000|Amts Mat. Exp. A19 D|0,00|16 987 376,00
28203000|Amts BR Incorp|0,00|119 869 755,50
28204000|Amts bat.inst. Agenc|0,00|638 109 561,00
28205000|Amts ouvrage DC|0,00|189 539 064,50
28206000|Amts Mat.exploi. DC|8 341,00|842 420 274,00
28207000|Amts matériel divers|0,00|7 781 925,50
28208000|Amts mob. de bureau|0,00|14 704 617,50
28209000|Amts Mat. Info. DC|0,00|125 708 492,50
28210000|Amts logiciel DC - L|0,00|565 979 774,50
28212000|Amts véh. tourisme D|0,00|6 852,50
28213000|Amts véh.ut.légers D|0,00|128 415 567,00
28214000|Amts véh. Ut. et PL|0,00|2 395 110,50
68112000|Dot.Amts.Immobili.DP|189 409 076,50|0,00
68112010|Dot.Amts.Log. SAP Ge|6 983 373,50|0,00
68112011|Dot.Amts.Log. SAP Pa|686 507,00|0,00
68112049|Dot.Amts.Log. A19 DP|18 445 135,00|0,00
68112050|Dot.Amts.Mat. A19 DP|6 846 405,00|0,00
68112051|Dot.Amts.MB. A19 DP|213 828,00|0,00
68112052|Dot.Amts.MR. A19 DP|6 183 077,00|0,00
68112053|Dot.Amts.Info A19 DP|2 291 481,50|0,00
68112054|Dot.Amts.Agen A19 DP|1 452 584,50|0,00
68112110|Dot.Amts.Bat. Aires|20 343 302,50|0,00
68112111|Dot.Amts.Bat. Divers|135 590 874,50|0,00
68112112|Dot.Amts.Bat. Centre|165 316 936,00|0,00
68112113|Dot.Amts.Bat. Gares|224 057 134,00|0,00
68112114|Dot.Amts.Bat. E.C.|4 362 055,50|0,00
68112119|Dot.Amts.Bat.  hist|88 439 258,50|0,00
68112121|Dot.Amts.Ouvrage Ecl|9 940,00|0,00
68112122|Dot.Amts.Ouvrag Glis|7 666,50|0,00
68112124|Dot.Amts.Ouv. Signal|124 756 263,50|0,00
68112125|Dot.Amts.Ouv.Signalé|34 009 808,00|0,00
68112128|Dot.Amts.Ouv. Pylone|24 397 173,50|0,00
68112129|Dot.Amts.Ouvrage his|6 358 213,00|0,00
68112130|Dot.Amts.Mat. Exploi|58 396 187,50|0,00
68112131|Dot.Amts.Mat. Péage|191 167 607,50|0,00
68112132|Dot.Amts.Mat. Viab/S|37 135 936,50|0,00
68112133|Dot.Amts.Mat. Electr|10 533 584,00|0,00
68112134|Dot.Amts.Mat.Electro|142 673 338,50|0,00
68112135|Dot.Amts.Mat.Atelier|5 640 905,00|8 341,00
68112136|Dot.Amts.Mat.Radio|79 133 732,00|0,00
68112137|Dot.Amts.Eqt.Route|72 963 750,00|0,00
68112138|Dot.Amts.Mat.Ex.Dhis|9 549 330,00|0,00
68112139|Dot.Amts.Mat.Ex.Lhis|7 781 925,50|0,00
68112140|Dot.Amts.Mat. Mobil.|4 566 273,50|0,00
68112141|Dot.Amts.Mat.Mob.EC.|9 869 685,00|0,00
68112149|Dot.Amts.Mob. histor|268 659,00|0,00
68112150|Dot.Amts.Mat.Bureaut|10 368 415,00|0,00
68112151|Dot.Amts.Mat. inform|94 268 459,00|0,00
68112153|Dot.Am.Mat.inf.NSP|4 773 928,50|0,00
68112154|Dot.Am.Mat.inf.MAGIC|1 577 054,50|0,00
68112155|Dot.Am.Mat.inf.SDT|14 509 679,00|0,00
68112156|Dot.Am.Mat.inf.LIBER|47 985,00|0,00
68112159|Dot.Amts.Mat.info.hi|136 641,00|0,00
68112160|Dot.Amts.Log. Péage|141 004 422,50|0,00
68112162|Dot.Amts.Log. Exploi|377 001 022,50|0,00
68112163|Dot.Amts.Log. Gest°|1 713 739,00|0,00
68112170|Dot.Amts.Véh.Tourism|6 852,50|0,00
68112180|Dot.Amts.Mat.Transp|4 296 030,00|0,00
68112181|Dot.Amts.Remorques|18 705 966,00|0,00
68112182|Dot.Amts.Véh. Salage|22 856 851,00|0,00
68112183|Dot.Amts.Véh. Utilit|82 526 565,50|0,00
68112184|Dot.Amts.Mat. B.E.|235 225 903,00|0,00
68112188|Dot.Amts.veh.ut.l.HI|30 154,50|0,00
68112189|Dot.Amts.veh.ut.PL.H|2 395 110,50|0,00
68112203|Dot.Am.Log.G.MAGIC|196 000,00|0,00
68112211|Dot.Amts.Prest NSP|13 115 303,50|0,00
68112212|Dot.Amts.Prest MAGIC|16 234 576,50|0,00
68112213|Dot.Amts.Prest SDT|14 265 396,50|0,00
68112214|Dot.Amts.Pres LIBERT|2 449 314,00|0,00
68112301|Dot.Amts.Rés inf.His|26 330,50|0,00
68112400|Dot.Amts.BR Incop SE|15 311 170,50|0,00
68112401|Dot.Amts.BR Incop GL|844 379,50|0,00
68112402|Dot.Amts.BR Incop CL|16 937 398,00|0,00
68112403|Dot.Amts.BR Incop SP|49 276 230,50|0,00
68112404|Dot.Amts.BRIncop RAU|11 264 071,50|0,00
68112405|Dot.Amts.BR Incop Re|5 068 915,50|0,00
68112406|Dot.Amts.BR Incop RF|13 821 137,50|0,00
68112407|Dot.Amts.BR Incop EP|7 258 308,00|0,00
68112408|Dot.Amts.BR Incop Pl|88 144,50|0,00
68725000|Dot.Amts.Dérogat.DP|11 009 750,00|515 688,00
68725100|Dot.Amts.Dérogat.DC|156 703 197,50|2 472,50
78725000|Rep./Amts.Dérogat.DP|0,00|41 545 282,50
78725100|Rep./Amts.Dérogat.DC|376 773,50|368 585 450,50
>AV|AVOIR FOURNISSEUR|684 173 603,50|684 173 603,50
23199999|cpte Technique IMMO|4 008 024,00|389 545 243,50
32110000|Stoc.Chlor.et sels|0,00|217 250,00
40111000|Fournisseurs|668 601 188,50|15 002 831,50
40810000|FAR Charges HG|884 255,50|37 219 619,00
40810100|FAR Charges Groupe|2 812 210,50|8 278 270,00
40841110|FAR Immos HG|0,00|19 836 253,00
40841120|FAR Immos Groupe|512 500,00|77 690 022,50
44562000|TVA s/enc. s/Immo 19|213 745,50|54 648 496,00
44562002|TVA s/enc.s/Immo 20%|681 293,50|12 600 944,50
44562020|TVA s/immo.19,60%|0,00|175 344,50
44562022|TVA DEBITs/immo.20%|0,00|1 717 850,00
44566002|TVA Biens/Serv.(2,10|0,00|901,00
44566005|TVA Biens/Serv.(5,50|383,00|34 377,00
44566007|TVA Biens/Serv.(7%)|0,00|16 824,00
44566010|TVA Biens/Serv.(10%)|0,00|22 987,50
44566019|TVA Biens/Serv.(19,6|8 503,50|186 247,50
44566020|TVA DED DEBIT B&S20%|19 829,50|493 549,00
44566080|TVA  GAZOLE 80%.|0,00|18 750,00
